
2024/04/08 (14:27:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/08 (14:42:51) | ===> btop++ v.1.3.2
2024/04/08 (14:42:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/08 (15:06:44) | ===> btop++ v.1.3.2
2024/04/08 (15:06:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/08 (19:50:39) | ===> btop++ v.1.3.2
2024/04/08 (19:50:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/08 (19:55:42) | ===> btop++ v.1.3.2
2024/04/08 (19:55:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/08 (20:30:09) | ===> btop++ v.1.3.2
2024/04/08 (20:30:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/15 (11:10:46) | ===> btop++ v.1.3.2
2024/04/15 (11:10:46) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/15 (11:12:28) | ===> btop++ v.1.3.2
2024/04/15 (11:12:28) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/20 (19:11:44) | ===> btop++ v.1.3.2
2024/04/20 (19:11:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/22 (08:08:53) | ===> btop++ v.1.3.2
2024/04/22 (08:08:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/22 (10:22:12) | ===> btop++ v.1.3.2
2024/04/22 (10:22:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/22 (10:27:14) | ===> btop++ v.1.3.2
2024/04/22 (10:27:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/26 (19:04:26) | ===> btop++ v.1.3.2
2024/04/26 (19:04:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/02 (22:04:57) | ===> btop++ v.1.3.2
2024/05/02 (22:04:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/02 (22:05:14) | ===> btop++ v.1.3.2
2024/05/02 (22:05:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/02 (22:05:47) | ===> btop++ v.1.3.2
2024/05/02 (22:05:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/03 (21:09:56) | ===> btop++ v.1.3.2
2024/05/03 (21:09:56) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/04 (17:14:19) | ===> btop++ v.1.3.2
2024/05/04 (17:14:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/04 (20:48:32) | ===> btop++ v.1.3.2
2024/05/04 (20:48:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
